post_id,query,collection_type,text,likes,reposts,replies,timestamp_utc,author_username,scraped_at_utc
2080580385029955847,razia pajak jalan tol,targeted,"@dwioktariyadi @bapenda_jabar @humaspoldajbr Akun @Opposite6888 binaan moncong bodas sebar HOAKS.

Foto tersebut hasil AI generate &amp; klaim “operasi razia pajak di dalam jalan tol” seperti digambarkan juga tidak sesuai fakta resmi.

Sudah di klarifikasi RTMC @humaspoldajbr https://t.co/P43KFdRm4q",11,5,2,Fri Jul 24 09:06:33 +0000 2026,kangdede78,2026-08-04T20:45:37.823216+00:00
2080555376492302618,razia pajak jalan tol,targeted,Jangan salah paham dulu soal razia pajak di jalan tol #LawanDisinformasi https://t.co/wKQxpRmCo4,23,22,23,Fri Jul 24 07:27:11 +0000 2026,Deka_Ajaa,2026-08-04T20:45:37.823216+00:00
2080484624334249992,razia pajak jalan tol,targeted,"Operasi pajak kendaraan itu setidaknya melibatkan 3 intansi yaitu @bapenda_jabar @humaspoldajbr dan Jasa Raharja. 

Dan sangat tidak mungkin razia begini dilakukan di jalan tol dan logonya cuma Polri aja di plangnya 

Pas check gambarnya ternyata barca bukan real dengan confident https://t.co/ZIOdEPqNAy",167,66,38,Fri Jul 24 02:46:02 +0000 2026,dwioktariyadi,2026-08-04T20:45:37.823216+00:00
2080307122160722346,razia pajak jalan tol,targeted,"Hanya satu-satunya di dunia, ada Razia pajak di jalan tol lagi",22,11,16,Thu Jul 23 15:00:42 +0000 2026,PakKarti,2026-08-04T20:45:37.823216+00:00
2080258021318619399,razia pajak jalan tol,targeted,Apa benar ini razia pajak sampai ke jalan tol? 🫪,2,0,2,Thu Jul 23 11:45:36 +0000 2026,biztechid,2026-08-04T20:45:37.823216+00:00
2080240465467916671,razia pajak jalan tol,targeted,"Segitunya Butuh Uangnya Pemerintah ini... udah berapa BULAN GA MAKAN yah Aparat Negara ini?

Gila2an sampai di jalan tol mereka cegat, Razia Polisi di Jalan Tol bandung -Jakarta

Luar biasa memang kreativitas tanpa batas di negeri ini. Ketika jalan tol yang dibangun dengan uang https://t.co/hjHO5Lcz9D",8,7,0,Thu Jul 23 10:35:50 +0000 2026,WeKa_Ronin,2026-08-04T20:45:37.823216+00:00
1882730660118552933,razia pajak jalan tol,targeted,"@kompascom Pemilik moge ini beli buat pamer bukan buat dipakai harian Boss, panas, debu, perawatan tinggi dan apes2nya kena razia pajak.

Masuk Tol malah bikin semakin macet dan kembahayakan banyak pemakai jalan tol.

Eh ngomong2 situ pasti pujya moge juga ya? pajak aman kah? 🤪",10,0,1,Fri Jan 24 10:02:23 +0000 2025,sastro_pecel,2026-08-04T20:45:37.823216+00:00
1765066732413329720,razia pajak jalan tol,targeted,"@merapi_uncover udahlah jelek transport publiknya,underpassnya diperbaiki tapi malah motor ga boleh lewat. yang miskin di razia. giliran mobil bikin macet di jalur lambat ngga ada aturannya. emang goblok. itu pada bayar pajak buat apa, dikira underpass jalan tol? motor ga boleh lewat.",9,0,2,Tue Mar 05 17:27:57 +0000 2024,bacotanhantam,2026-08-04T20:45:37.823216+00:00
1398402819837730822,razia pajak jalan tol,targeted,"@isnaendi Sepeda motor sebagai pengguna jalan mayoritas, malah dianaktirikan. Tol gk boleh, jalur khusus gk ada, pajak tetep, subsidi gk ada, Parkir per m² mahal, susah cari parkir di mall/gedung, razia paling sering, neduh hujan dibully. 
Dimana demokrasi?",5,0,0,Fri May 28 22:16:27 +0000 2021,nevertiten,2026-08-04T20:45:37.823216+00:00
2083866680120475749,Komdigi balik nama HP bekas,targeted,"[HOAKS] Komdigi Bakal Terapkan Aturan Balik Nama HP Bekas

https://t.co/hfL9oqCg2F",0,0,0,Sun Aug 02 10:45:07 +0000 2026,Sukoharjo_News,2026-08-04T20:46:10.134819+00:00
2083060392054739331,Komdigi balik nama HP bekas,targeted,"Faktanya, klaim tersebut hoaks. selengkapnya bisa melalui link berikut.

[LINK COUNTER]
https://t.co/z1t4pRI0WJ

Selalu cek fakta sebelum membagikan informasi. Yuk Lur #SaringSebelumSharing https://t.co/wdDOZ2JAOA",0,0,1,Fri Jul 31 05:21:13 +0000 2026,kominfodiy,2026-08-04T20:46:10.134819+00:00
2083060387927482810,Komdigi balik nama HP bekas,targeted,"[SALAH] Komdigi Bakal Terapkan Aturan Balik Nama HP Bekas 

Sedulur, beredar unggahan di media sosial yang mengklaim Komdigi akan menerapkan aturan balik nama untuk setiap transaksi jual beli HP bekas.

#KominfoDIY #JogjaIstimewa #CekFakta #AntiHoaks #WaspadaHoaks https://t.co/4vasqsDG1l",0,0,1,Fri Jul 31 05:21:12 +0000 2026,kominfodiy,2026-08-04T20:46:10.134819+00:00
2083044442726953188,Komdigi balik nama HP bekas,targeted,"❌ Komdigi Bakal Terapkan Aturan Balik Nama HP Bekas 

✅ Konten palsu (fabricated content). Faktanya, wacana yang dibahas berkaitan dengan layanan pemblokiran dan pendaftaran ulang IMEI untuk melindungi perangkat, bukan kewajiban balik nama setiap kali terjadi jual beli HP https://t.co/KwyzXGzoHc",0,0,0,Fri Jul 31 04:17:50 +0000 2026,TurnBackHoax,2026-08-04T20:46:10.134819+00:00
2081003649321578574,Komdigi balik nama HP bekas,targeted,"Ide Gila Apalagi Ini🤦

Jual Beli Hp Bekas Bakal Mirip Motor, Komdigi Harus Balik Nama!? https://t.co/r9FHRX6BB8",15,1,12,Sat Jul 25 13:08:27 +0000 2026,ArusPolitik_,2026-08-04T20:46:10.134819+00:00
1985177145698824196,Komdigi balik nama HP bekas,targeted,"MULAI.. ‼️‼️
Kebijakan² Konyol Komdigi :
*Live TikTok dihapus
*SIM card wajib pakai wajah
*HP bekas harus balik nama 
*Satu orang  satu akun medsos
*Game diblokir kalau nggak ikut aturan IGRS
*Influencer Wajib sertifikat

SEMENTARA JUDOL, TAK TERSENTUH 😭😭
@kemkomdigi https://t.co/cHSxdmE26S",38,17,16,Mon Nov 03 02:48:08 +0000 2025,KangManto123,2026-08-04T20:46:10.134819+00:00
1976940399651639588,Komdigi balik nama HP bekas,targeted,"MULAI.. ‼️‼️
5 Kebijakan Konyol Komdigi :
*Live TikTok dihapus
*SIM card wajib pakai wajah
*HP bekas harus ada surat balik nama 
*Satu orang cuma boleh punya satu akun medsos
*Game diblokir kalau nggak ikut aturan IGRS

SEMNTARA JUDOL, TAK TERSENTUH CUY 👊
@kemkomdigi https://t.co/xav4I7h5y1",433,246,81,Sat Oct 11 09:18:15 +0000 2025,KangManto123,2026-08-04T20:46:10.134819+00:00
1975891343781089326,Komdigi balik nama HP bekas,targeted,"Komdigi memastikan tidak akan ada kebijakan balik nama kepemilikan ponsel bekas, aturan yang sedang dikaji adalah layanan blokir IMEI untuk HP yang hilang. #Ekonomi #AdadiKompas

https://t.co/rS3ZZSHO6A",1,1,0,Wed Oct 08 11:49:41 +0000 2025,hariankompas,2026-08-04T20:46:10.134819+00:00
1974802065110208696,Komdigi balik nama HP bekas,targeted,"RESMI Aturan Balik Nama Beli HP Bekas Diumumkan Komdigi, Alasan Perlindungan Ponsel Hilang
 
https://t.co/0Ht4QwXsT0 lewat @tribunnews",0,0,0,Sun Oct 05 11:41:17 +0000 2025,tribunpontianak,2026-08-04T20:46:10.134819+00:00
1974659285746581571,Komdigi balik nama HP bekas,targeted,"Dirjen Infrastruktur Digital Kemkomdigi Wayan Toni menegaskan bahwa wacana terkait layanan pemblokiran dan pendaftaran ulang IMEI bukanlah aturan balik nama ponsel seperti pada kendaraan. 

Baca di sini: https://t.co/CHH1AAML9T 

/ #IMEI #Handphone https://t.co/8R65idQiUj",6,0,5,Sun Oct 05 02:13:55 +0000 2025,kompascom,2026-08-04T20:46:10.134819+00:00
1974636191501992111,Komdigi balik nama HP bekas,targeted,"Pejabat pemerintah skg pinter cari peluang post korupsi baru. Bukannya berantas korupsi dg debirokratisasi tp malah ciptakan birokrasi. Kalau bukan utk korupsi lalu utk apa lagi itu?!!

Komdigi Sebut Jual Beli Hp Bekas Bakal Mirip Motor, Ada Balik Nama https://t.co/IIX86xwFKH",2,0,0,Sun Oct 05 00:42:09 +0000 2025,FerryNLangelo,2026-08-04T20:46:10.134819+00:00
1974487344934985978,Komdigi balik nama HP bekas,targeted,"Gimana menurut kamu, aturan balik nama HP second ini bakal bikin transaksi lebih aman atau justru ribet?

🔗 Baca selengkapnya di:
https://t.co/8RlATuTSyC",0,0,0,Sat Oct 04 14:50:41 +0000 2025,inilahdotcom,2026-08-04T20:46:10.134819+00:00
1974487336189939853,Komdigi balik nama HP bekas,targeted,"Aturan Baru HP Second? Bisa Wajib Balik Nama

Kementerian Komunikasi dan Digital (Komdigi) tengah menggodok aturan jual beli ponsel bekas yang menyerupai mekanisme transaksi motor second, yakni dengan balik nama kepemilikan.

“HP second itu kita harapkan nanti juga jelas, seperti https://t.co/9YzYheA9Pg",0,0,1,Sat Oct 04 14:50:39 +0000 2025,inilahdotcom,2026-08-04T20:46:10.134819+00:00
1974406640620163505,Komdigi balik nama HP bekas,targeted,"Komdigi wacanakan jual beli HP bekas wajib balik nama, mirip motor second. 

Tujuannya cegah penyalahgunaan identitas &amp; dukung layanan blokir IMEI HP hilang/curian. 

Layanan ini opsional &amp; masih dikaji.

&gt;&gt; https://t.co/RUzWsppU2Q https://t.co/DpQFsBSVR8",0,1,6,Sat Oct 04 09:30:00 +0000 2025,detikcom,2026-08-04T20:46:10.134819+00:00
1974371127125520832,Komdigi balik nama HP bekas,targeted,"Komdigi: ""Jual beli hp bekas wajib balik nama sprti motor bekas""

Jd  bgmn cara mengetahui identitas pemilik lama? 
Biasanya si pemilik itu pasti akan mecopot sim card lalu me-reset HP-nya sblm dijual spy akun dan data"" kosong,

Terobosan yg sngt membagongkan,bikin ribet rakyat🤔 https://t.co/B9vqtyCAmD",9,3,4,Sat Oct 04 07:08:53 +0000 2025,Yom_N_Friends,2026-08-04T20:46:10.134819+00:00
1974370992915910744,Komdigi balik nama HP bekas,targeted,"Kementerian Komunikasi dan Digital (Komdigi) kabarnya sedang mengodok aturan baru berpotensi mengubah cara jual beli ponsel bekas di Indonesia. 

Rencananya, setiap transaksi HP seken wajib disertai proses balik nama kepemilikan, seperti ketika konsumen jual beli motor atau mobil https://t.co/IpLPixqB1Z",0,0,5,Sat Oct 04 07:08:21 +0000 2025,liputan6dotcom,2026-08-04T20:46:10.134819+00:00
1974355266746667481,Komdigi balik nama HP bekas,targeted,"Jual Beli HP Bekas Bakal Mirip Motor Seken! Ada Proses Balik Nama, Ini Penjelasan Komdigi https://t.co/WJkxHlBrxf",3,1,1,Sat Oct 04 06:05:51 +0000 2025,PRFMnews,2026-08-04T20:46:10.134819+00:00
1974335660430630981,Komdigi balik nama HP bekas,targeted,"Komdigi: Jual beli HP bekas bakalan seperti motor, ada proses balik nama https://t.co/2Xke47NYk8",44,7,25,Sat Oct 04 04:47:57 +0000 2025,adarwis,2026-08-04T20:46:10.134819+00:00
1974334063445225831,Komdigi balik nama HP bekas,targeted,"Komdigi bingung ga ada kerjaan mau berantas ""judol"" ga berani dibuatlah yg ngadi² 
Hp balik nama kepemilikan walau barang bekas....
Njirrtt 😂😂🤦🏻‍♂️🤦🏻‍♀️
@HumorJonTampan 
@demokrasi_ruwet 
@King_PWS_ https://t.co/CCHID0Oi7j",4,1,4,Sat Oct 04 04:41:36 +0000 2025,KiyongKaka,2026-08-04T20:46:10.134819+00:00
1974311010036244533,Komdigi balik nama HP bekas,targeted,"Komdigi mengusulkan sistem balik nama untuk ponsel bekas, mirip transaksi motor. Begini alasannya!

https://t.co/r2RaOhDDXK",2,2,1,Sat Oct 04 03:10:00 +0000 2025,detikcom,2026-08-04T20:46:10.134819+00:00
1974309218955243889,Komdigi balik nama HP bekas,targeted,"Komdigi bakal terapkan balik nama untuk jual beli HP bekas...
Mirip motor....
Jual beli motor itu suka rela balik namanya...
Komdigi atau komedi ya ...? https://t.co/KjH3uW8Lv2",21,7,5,Sat Oct 04 03:02:53 +0000 2025,Bambangmulyonoo,2026-08-04T20:46:16.671108+00:00
1974281945048887599,Komdigi balik nama HP bekas,targeted,"Jual Beli HP Second Wajib Balik Nama seperti Motor? 

Kementerian Komunikasi dan Digital (Komdigi) tengah mengkaji aturan baru soal jual beli HP bekas. Nantinya, transaksi ponsel second bakal mirip dengan jual beli motor, yakni ada balik nama kepemilikan.

Direktur Penataan https://t.co/sb1W86DAEx",0,0,3,Sat Oct 04 01:14:30 +0000 2025,officialinews_,2026-08-04T20:46:16.671108+00:00
1974132348745887820,Komdigi balik nama HP bekas,targeted,"Beli HP bekas mungkin sebentar lagi tidak akan semudah sekarang. Kementerian Komunikasi dan Digital (Komdigi) tengah mengkaji aturan baru yang membuat transaksi ponsel second mirip dengan jual beli motor harus......
https://t.co/qCkkyg6VuB",2,1,0,Fri Oct 03 15:20:04 +0000 2025,FeedsNews24,2026-08-04T20:46:16.671108+00:00
1974100220284973336,Komdigi balik nama HP bekas,targeted,"BREAKING!
Beli HP bekas sebentar lagi tak bisa sembarangan

Komdigi wacanakan aturan balik nama ponsel, mirip kayak kendaraan bermotor.
Aturan ini bakal terintegrasi dengan blokir IMEI untuk cegah peredaran HP curian &amp; ilegal.
https://t.co/YcL8CDxino

Bikin ribet gak tuh 🤔 https://t.co/NdWdp6Rg3n",25,13,14,Fri Oct 03 13:12:24 +0000 2025,bagindo_kopi,2026-08-04T20:46:16.671108+00:00
1974098111917445344,Komdigi balik nama HP bekas,targeted,"Komdigi Sebut Jual Beli Hp Bekas Bakal Mirip Motor, Ada Balik Nama https://t.co/CJ4KAMhURh",20,22,1,Fri Oct 03 13:04:01 +0000 2025,OposisiCerdas,2026-08-04T20:46:16.671108+00:00
1974088839074623727,Komdigi balik nama HP bekas,targeted,"Breaking news
Kementerian Komunikasi dan digital atau komdigi akan memberlakukan sistem balik nama pada jual beli HP bekas, mirip jual beli sepeda motor atau mobil https://t.co/XZZFz10tN7",3,0,1,Fri Oct 03 12:27:10 +0000 2025,aseprivva,2026-08-04T20:46:16.671108+00:00
1974074657818226829,Komdigi balik nama HP bekas,targeted,"Kementerian Komunikasi dan Digital (Komdigi) tengah mengkaji wacana mekanisme balik nama pada jual beli ponsel bekas, mirip seperti proses jual beli motor bekas. Wacana ini dihadirkan untuk mencegah penyalahgunaan identitas maupun peredaran ponsel hasil curian.

“HP second itu https://t.co/PECPPZrXrO",1,0,3,Fri Oct 03 11:30:49 +0000 2025,Melihat_Indo,2026-08-04T20:46:16.671108+00:00
1974073101060309212,Komdigi balik nama HP bekas,targeted,"Komdigi Wacanakan Jual Beli HP Second Mirip Motor Bekas, Bakal Ada Balik Nama
https://t.co/eupKr65chu",22,8,34,Fri Oct 03 11:24:38 +0000 2025,geloraco,2026-08-04T20:46:16.671108+00:00
1974011955179594061,Komdigi balik nama HP bekas,targeted,"Seperti Jual Beli Motor Bekas, Komdigi Wacana Balik Nama HP https://t.co/Y0BtckHqps",0,0,1,Fri Oct 03 07:21:40 +0000 2025,detikinet,2026-08-04T20:46:16.671108+00:00
1974004337706692695,Komdigi balik nama HP bekas,targeted,"Breaking News : 

1 hari, 1 kebijakan tolol.
Komdigi mewacanakan Jual Beli Hp Bekas Bakal Mirip Motor, Ada Balik Nama.

here we go !!! 

 https://t.co/BdrUbXr6JZ.",2,1,0,Fri Oct 03 06:51:23 +0000 2025,Sebelahkampus,2026-08-04T20:46:16.671108+00:00
1973925082839020004,Komdigi balik nama HP bekas,targeted,"Komdigi Sebut Jual Beli Hp Bekas Bakal Mirip Motor, Ada Balik Nama https://t.co/gmlBBcIC0H",48,22,67,Fri Oct 03 01:36:28 +0000 2025,CNNIndonesia,2026-08-04T20:46:16.671108+00:00
2073561345421934776,SPBU Samsat tilang pajak,targeted,"Akun rasis/separatis @indepenSumatera antek pengusaha sawit Malaysia yg sering nyebar konten provokatif, kembali nyebar HOAKS. 

Tidak ada kebijakan resmi nasional atau daerah yg mewajibkan razia/tilang pajak kendaraan di SPBU atau menolak isi BBM kalau pajak mati. Pertamina, https://t.co/y7VGCStNMj",9,5,3,Sun Jul 05 00:15:24 +0000 2026,kangdede78,2026-08-04T20:46:43.823324+00:00
2073025351287271846,SPBU Samsat tilang pajak,targeted,"@liogtttscrp Ini di NTT kak, di NTT lagi rame plat luar NTT dilarang isi bensin subsidi, dan orang samsat atau bapenda jaga di spbu ngecek in motor, plat luar ntt mau pajak hidup wajib pake pertamax, plat NTT pajek mati langsung tilang di tempat",2,0,1,Fri Jul 03 12:45:33 +0000 2026,bukanomhao,2026-08-04T20:46:43.823324+00:00
2070753141037912273,beli Pertalite tunjukkan STNK pajak,targeted,"KLARIFIKASI HOAX - MISLEADING CONTENT 
[HOAKS] Beli Pertalite Harus Tunjukkan SNTK, Telat Pajak Akan Ditolak
Beredar Di media sosial muncul narasi yang mengeklaim pembelian bahan bakar minyak (BBM) subsidi, Pertalite harus menunjukkan Surat Tanda Nomor Kendaraan (STNK). https://t.co/eoJ2PEQhvb",3,1,0,Sat Jun 27 06:16:36 +0000 2026,humaspoldajbr,2026-08-04T20:47:23.409008+00:00
